strategy,network_latency_ms,n,p5_ms,q1_ms,q3_ms,rep_mean_1,rep_mean_2,rep_mean_3,rep_mean_4,rep_mean_5,median_device_inference_ms
cloud,0,750,306.7,452.8,628.4,560.8,522.5,535.8,571.0,575.3,
cloud,100,750,600.9,1034.5,1531.3,1265.5,1302.4,1288.6,1265.2,1322.1,
cloud,300,750,918.9,1921.1,2977.8,2484.2,2500.8,2515.4,2496.3,2393.5,
device,0,750,820.3,1136.4,1269.9,1147.8,1154.3,1186.3,1205.3,1230.0,1043.9
edge,0,750,124.3,148.3,185.2,179.4,172.9,172.3,172.8,172.5,
edge,100,750,224.9,248.4,285.8,277.5,278.0,278.2,276.9,277.9,
edge,300,750,424.3,449.0,486.1,488.4,489.0,489.3,490.9,487.1,
hi-cloud,0,750,1144.7,1224.4,1775.6,1485.5,1477.1,1487.2,1505.5,1480.6,1094.4
hi-cloud,100,750,1102.7,1176.0,2498.4,1798.3,1807.0,1799.7,1824.8,1817.7,1049.4
hi-cloud,300,750,1087.2,1155.1,3869.8,2438.4,2438.7,2486.8,2464.9,2439.4,1028.8
hi-edge,0,750,953.2,1169.4,1394.7,1222.3,1253.3,1285.9,1316.3,1309.6,1074.0
hi-edge,100,750,1089.7,1168.8,1864.2,1479.4,1483.9,1499.3,1507.8,1531.0,1037.2
hi-edge,300,750,1086.3,1145.6,2535.6,1872.7,1864.6,1867.6,1868.3,1874.6,1028.3
